22.4059 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1512, 982]. Using actual size
23.6510 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

23.6513 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fbce14896a0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fbce1489640>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fbce14894c0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fbd1102e9d0>, multiSample=False, name='window1', numSamples=2, pos=[378.0, 245.5], screen=0, size=array([3024, 1964]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
23.6514 	EXP 	window1: mouseVisible = True
23.6514 	EXP 	window1: backgroundImage = None
23.6514 	EXP 	window1: backgroundFit = 'cover'
23.6517 	EXP 	window1: mouseVisible = True
23.6773 	EXP 	Created fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='norm', win=Window(...), wrapWidth=1)
23.6774 	EXP 	window1: mouseVisible = True
23.7075 	EXP 	Created instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.06, italic=False, languageStyle='LTR', name='instructions', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1.5)
23.7077 	EXP 	window1: mouseVisible = True
23.7134 	EXP 	Created break_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.06, italic=False, languageStyle='LTR', name='break_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1.5)
23.7135 	EXP 	window1: mouseVisible = True
23.7146 	EXP 	Created block_progress = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='block_progress', opacity=1.0, ori=0, pos=array([ 0. , -0.4]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
23.7147 	EXP 	window1: mouseVisible = True
23.7269 	EXP 	Created completion = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='completion', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1)
23.7314 	WARNING 	t of last frame was 80.59ms (=1/12)
24.8661 	DATA 	Keypress: space
24.8830 	WARNING 	t of last frame was 1151.60ms (=1/0)
24.8830 	EXP 	block_progress: height = 0.04
24.8830 	EXP 	block_progress: height = 0.04
24.8830 	EXP 	block_progress: height = 0.04
24.8830 	EXP 	block_progress: text = 'Block 1/3'
26.8917 	WARNING 	t of last frame was 2008.72ms (=1/0)
26.8919 	EXP 	Sound  started
27.1965 	WARNING 	t of last frame was 304.85ms (=1/3)
27.7009 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
27.7011 	EXP 	Sound  stopped
27.7011 	EXP 	Sound  started
28.5089 	EXP 	Sound  stopped
28.5089 	EXP 	Sound  started
29.3196 	EXP 	Sound  stopped
29.3196 	EXP 	Sound  started
30.1273 	EXP 	Sound  stopped
30.1273 	EXP 	Sound  started
30.9344 	EXP 	Sound  stopped
30.9344 	EXP 	Sound  started
31.7430 	EXP 	Sound  stopped
31.7431 	EXP 	Sound  started
32.5512 	EXP 	Sound  stopped
32.5513 	EXP 	Sound  started
33.3605 	EXP 	Sound  stopped
33.3605 	EXP 	Sound  started
34.1686 	EXP 	Sound  stopped
34.1687 	EXP 	Sound  started
34.9770 	EXP 	Sound  stopped
34.9770 	EXP 	Sound  started
35.7846 	EXP 	Sound  stopped
35.7846 	EXP 	Sound  started
36.5932 	EXP 	Sound  stopped
36.5932 	EXP 	Sound  started
37.4011 	EXP 	Sound  started
38.2085 	EXP 	Sound  stopped
38.2085 	EXP 	Sound  started
39.0168 	EXP 	Sound  stopped
39.0169 	EXP 	Sound  started
39.8260 	EXP 	Sound  stopped
39.8260 	EXP 	Sound  started
40.6336 	EXP 	Sound  stopped
40.6336 	EXP 	Sound  started
41.4406 	EXP 	Sound  stopped
41.4406 	EXP 	Sound  started
42.2492 	EXP 	Sound  stopped
42.2492 	EXP 	Sound  started
43.0575 	EXP 	Sound  stopped
43.0575 	EXP 	Sound  started
43.8655 	EXP 	Sound  stopped
43.8655 	EXP 	Sound  started
44.6729 	EXP 	Sound  stopped
44.6729 	EXP 	Sound  started
45.4798 	EXP 	Sound  stopped
45.4798 	EXP 	Sound  started
46.2870 	EXP 	Sound  stopped
46.2870 	EXP 	Sound  started
47.0935 	EXP 	Sound  stopped
47.0935 	EXP 	Sound  started
47.9020 	EXP 	Sound  stopped
47.9020 	EXP 	Sound  started
48.7105 	EXP 	Sound  stopped
48.7105 	EXP 	Sound  started
49.5187 	EXP 	Sound  stopped
49.5188 	EXP 	Sound  started
50.3259 	EXP 	Sound  stopped
50.3259 	EXP 	Sound  started
51.1325 	EXP 	Sound  stopped
51.1325 	EXP 	Sound  started
51.9401 	EXP 	Sound  stopped
51.9401 	EXP 	Sound  started
52.7488 	EXP 	Sound  stopped
52.7489 	EXP 	Sound  started
53.5569 	EXP 	Sound  stopped
53.5569 	EXP 	Sound  started
54.3637 	EXP 	Sound  stopped
54.3637 	EXP 	Sound  started
55.1709 	EXP 	Sound  stopped
55.1709 	EXP 	Sound  started
55.9785 	EXP 	Sound  stopped
55.9786 	EXP 	Sound  started
56.7861 	EXP 	Sound  stopped
56.7861 	EXP 	Sound  started
57.5934 	EXP 	Sound  stopped
57.5934 	EXP 	Sound  started
58.4018 	EXP 	Sound  stopped
58.4018 	EXP 	Sound  started
59.2098 	EXP 	Sound  stopped
59.2098 	EXP 	Sound  started
60.0168 	EXP 	Sound  stopped
60.0168 	EXP 	Sound  started
60.8243 	EXP 	Sound  stopped
60.8244 	EXP 	Sound  started
61.6318 	EXP 	Sound  stopped
61.6318 	EXP 	Sound  started
62.4401 	EXP 	Sound  stopped
62.4401 	EXP 	Sound  started
63.2478 	EXP 	Sound  stopped
63.2478 	EXP 	Sound  started
64.0554 	EXP 	Sound  stopped
64.0554 	EXP 	Sound  started
64.8635 	EXP 	Sound  stopped
64.8635 	EXP 	Sound  started
65.6708 	EXP 	Sound  stopped
65.6708 	EXP 	Sound  started
66.4789 	EXP 	Sound  stopped
66.4789 	EXP 	Sound  started
67.2864 	EXP 	Sound  stopped
67.2864 	EXP 	Sound  started
68.0932 	EXP 	Sound  stopped
68.0932 	EXP 	Sound  started
68.9009 	EXP 	Sound  stopped
68.9010 	EXP 	Sound  started
69.7083 	EXP 	Sound  stopped
69.7083 	EXP 	Sound  started
70.5160 	EXP 	Sound  stopped
70.5160 	EXP 	Sound  started
71.3239 	EXP 	Sound  stopped
71.3239 	EXP 	Sound  started
72.1296 	EXP 	Sound  stopped
72.1296 	EXP 	Sound  started
72.9362 	EXP 	Sound  stopped
72.9362 	EXP 	Sound  started
73.7435 	EXP 	Sound  stopped
73.7435 	EXP 	Sound  started
74.5508 	EXP 	Sound  stopped
74.5508 	EXP 	Sound  started
75.3587 	EXP 	Sound  stopped
75.3588 	EXP 	Sound  started
76.1655 	EXP 	Sound  stopped
76.1655 	EXP 	Sound  started
76.9733 	EXP 	Sound  stopped
76.9733 	EXP 	Sound  started
77.7800 	EXP 	Sound  stopped
77.7800 	EXP 	Sound  started
78.5873 	EXP 	Sound  stopped
78.5873 	EXP 	Sound  started
79.3946 	EXP 	Sound  stopped
79.3946 	EXP 	Sound  started
80.2021 	EXP 	Sound  stopped
80.2022 	EXP 	Sound  started
81.0089 	EXP 	Sound  stopped
81.0090 	EXP 	Sound  started
81.8156 	EXP 	Sound  stopped
81.8156 	EXP 	Sound  started
82.6230 	EXP 	Sound  stopped
82.6230 	EXP 	Sound  started
83.4304 	EXP 	Sound  stopped
83.4304 	EXP 	Sound  started
84.2383 	EXP 	Sound  stopped
84.2383 	EXP 	Sound  started
85.0449 	EXP 	Sound  stopped
85.0450 	EXP 	Sound  started
85.8527 	EXP 	Sound  stopped
85.8527 	EXP 	Sound  started
86.6588 	EXP 	Sound  stopped
86.6588 	EXP 	Sound  started
87.4667 	EXP 	Sound  stopped
87.4667 	EXP 	Sound  started
88.2738 	EXP 	Sound  stopped
88.2738 	EXP 	Sound  started
89.0817 	EXP 	Sound  stopped
89.0817 	EXP 	Sound  started
89.8886 	EXP 	Sound  stopped
89.8887 	EXP 	Sound  started
90.6962 	EXP 	Sound  stopped
90.6963 	EXP 	Sound  started
91.5040 	EXP 	Sound  stopped
91.5041 	EXP 	Sound  started
92.3117 	EXP 	Sound  stopped
92.3117 	EXP 	Sound  started
93.1184 	EXP 	Sound  stopped
93.1184 	EXP 	Sound  started
93.9258 	EXP 	Sound  stopped
93.9258 	EXP 	Sound  started
94.7334 	EXP 	Sound  stopped
94.7335 	EXP 	Sound  started
95.5409 	EXP 	Sound  stopped
95.5409 	EXP 	Sound  started
96.3487 	EXP 	Sound  stopped
96.3487 	EXP 	Sound  started
97.1549 	EXP 	Sound  stopped
97.1550 	EXP 	Sound  started
97.9630 	EXP 	Sound  stopped
97.9630 	EXP 	Sound  started
98.7697 	EXP 	Sound  stopped
98.7697 	EXP 	Sound  started
100.9414 	DATA 	Keypress: space
100.9918 	EXP 	block_progress: height = 0.04
100.9918 	EXP 	block_progress: height = 0.04
100.9918 	EXP 	block_progress: height = 0.04
100.9918 	EXP 	block_progress: text = 'Block 2/3'
103.0014 	EXP 	Sound  started
103.8100 	EXP 	Sound  stopped
103.8101 	EXP 	Sound  started
104.6175 	EXP 	Sound  stopped
104.6175 	EXP 	Sound  started
105.0579 	DATA 	Keypress: escape
105.4490 	EXP 	window1: mouseVisible = True
